RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
44,,Jim Furyk,20,68.89,248,360,-0.2
45,45,Carlos Ortiz,51,68.87,595,864,-0.34
46,46,Shane Lowry,39,68.83,446,648,-0.23
47,44,Tony Finau,47,68.81,545,792,-0.34
48,47,Mark Anderson,34,68.79,421,612,-0.23
49,43,Scott Stallings,38,68.57,469,684,-0.21
50,48,Doug Ghim,52,68.38,640,936,-0.28
51,52,Bubba Watson,34,68.33,369,540,-0.26
52,54,Chez Reavie,44,68.31,541,792,-0.24
53,60,Paul Casey,37,68.14,417,612,-0.3
54,55,Cameron Champ,38,68.13,466,684,-0.29
55,65,Brooks Koepka,30,67.96,367,540,-0.34
56,T63,Chase Seiffert,48,67.94,587,864,-0.26
57,53,Si Woo Kim,54,67.86,623,918,-0.3
58,51,Bo Hoag,52,67.84,635,936,-0.26
59,70,Matt Jones,58,67.82,708,"1,044",-0.31
60,61,Bronson Burgoon,44,67.68,536,792,-0.26
61,T58,Charles Howell III,46,67.63,560,828,-0.24
62,T58,Harold Varner III,46,67.51,559,828,-0.27
63,56,Brice Garnett,54,67.49,656,972,-0.27
64,77,Hudson Swafford,42,67.46,510,756,-0.28
65,81,Bryson DeChambeau,33,67.41,364,540,-0.4
66,75,Hank Lebioda,38,67.4,461,684,-0.24
67,98,Lucas Glover,54,67.39,655,972,-0.26
68,50,Ryan Brehm,32,67.36,388,576,-0.29
T69,82,Jason Day,46,67.31,521,774,-0.27
T69,72,Will Gordon,60,67.31,727,"1,080",-0.31
71,71,John Huh,38,67.25,460,684,-0.27
72,76,Hideki Matsuyama,57,67.18,653,972,-0.31
73,68,Andrew Putnam,57,67.15,689,"1,026",-0.27
74,62,Sepp Straka,62,67.11,749,"1,116",-0.3
75,73,Doc Redman,40,67.08,483,720,-0.25
T76,T66,Harry Higgs,42,67.06,507,756,-0.35
T76,83,Sebastián Muñoz,59,67.06,676,"1,008",-0.3
T76,86,Scott Piercy,42,67.06,507,756,-0.27
T76,T66,Michael Gligic,42,67.06,507,756,-0.24
80,87,Tyrrell Hatton,33,67.04,362,540,-0.33
T81,T88,Louis Oosthuizen,37,66.99,410,612,-0.32
T81,74,Luke List,51,66.99,615,918,-0.29
T81,T88,Jim Herman,34,66.99,410,612,-0.22
84,T78,J.J. Spaun,38,66.96,458,684,-0.21
85,90,Harris English,45,66.93,506,756,-0.34
86,91,Michael Gellerman,23,66.91,277,414,-0.16
87,57,Brendan Steele,54,66.87,650,972,-0.28
88,92,Kevin Kisner,37,66.83,409,612,-0.33
89,93,Marc Leishman,43,66.81,481,720,-0.28
90,94,Kevin Na,44,66.8,493,738,-0.29
91,T78,Lanto Griffin,57,66.77,649,972,-0.31
T92,T84,Patrick Rodgers,56,66.67,672,"1,008",-0.28
T92,T95,Cameron Davis,50,66.67,600,900,-0.32
T92,T78,Kramer Hickok,38,66.67,456,684,-0.26
T92,T63,Luke Donald,30,66.67,360,540,-0.22
T92,69,Sean O'Hair,25,66.67,300,450,-0.2
97,99,Cameron Smith,45,66.53,503,756,-0.38
98,102,Wyndham Clark,42,66.4,502,756,-0.33
99,103,Adam Scott,40,66.39,478,720,-0.34
100,T105,Talor Gooch,53,66.33,597,900,-0.3
101,T84,Charl Schwartzel,44,66.29,525,792,-0.25
102,T107,Jonathan Byrd,26,66.24,310,468,-0.24
103,T95,Jhonattan Vegas,46,66.18,548,828,-0.3
104,111,Matt Fitzpatrick,35,66.15,381,576,-0.33
105,113,Rory McIlroy,39,66.05,428,648,-0.35
106,114,Nelson Ledesma,26,66.03,309,468,-0.29
107,97,Adam Schenk,56,65.97,665,"1,008",-0.24
108,118,Brian Harman,59,65.95,641,972,-0.33
T109,119,Dylan Frittelli,42,65.94,451,684,-0.25
T109,100,Matt Kuchar,45,65.94,451,684,-0.3
111,120,Michael Thompson,44,65.91,522,792,-0.28
112,101,Brian Stuard,58,65.9,688,"1,044",-0.27
113,125,Matthew Wolff,35,65.8,379,576,-0.35
T114,T116,Austin Cook,42,65.74,497,756,-0.28
T114,T105,Denny McCarthy,54,65.74,639,972,-0.27
116,T107,Kevin Chappell,28,65.67,331,504,-0.26
117,126,Patrick Reed,35,65.63,378,576,-0.4
118,,Ryan Moore,20,65.56,236,360,-0.23
119,T116,Phil Mickelson,34,65.52,401,612,-0.25
120,123,Nick Taylor,52,65.49,613,936,-0.29
121,115,Vaughn Taylor,47,65.48,554,846,-0.26
122,109,D.J. Trahan,40,65.42,471,720,-0.27
T123,130,Bill Haas,26,65.38,306,468,-0.24
T123,124,Nate Lashley,56,65.38,659,"1,008",-0.27
125,131,Robert Streb,38,65.35,447,684,-0.28
126,104,Camilo Villegas,41,65.18,481,738,-0.27
127,T132,Ian Poulter,30,65.17,305,468,-0.22
128,134,Tim Wilkinson,36,65.12,422,648,-0.26
129,T135,Chris Baker,28,65.08,328,504,-0.2
T130,T138,Max Homa,51,65.05,562,864,-0.34
T130,T138,C.T. Pan,48,65.05,562,864,-0.26
132,112,Jason Dufner,44,65.03,515,792,-0.22
133,141,Tyler McCumber,46,64.98,538,828,-0.26
T134,T128,Branden Grace,48,64.93,561,864,-0.29
T134,T121,Rafael Campos,32,64.93,374,576,-0.26
T134,T142,Aaron Baddeley,32,64.93,374,576,-0.28
137,T121,Byeong Hun An,44,64.9,514,792,-0.26
T138,110,Joel Dahmen,50,64.89,584,900,-0.3
T138,144,Brendon Todd,53,64.89,584,900,-0.33
140,T147,Brandon Hagy,40,64.86,467,720,-0.28
T141,T147,Maverick McNealy,42,64.81,490,756,-0.3
T141,185,Matt Wallace,27,64.81,280,432,-0.29
143,T155,Tom Hoge,56,64.78,653,"1,008",-0.34
T144,149,Mackenzie Hughes,48,64.77,513,792,-0.32
T144,127,David Hearn,38,64.77,443,684,-0.26
146,153,Tommy Fleetwood,33,64.68,326,504,-0.29
147,154,Justin Rose,22,64.65,256,396,-0.35
148,150,K.J. Choi,30,64.63,349,540,-0.21
T149,140,Ryan Armour,46,64.61,535,828,-0.29
T149,T135,Vincent Whaley,46,64.61,535,828,-0.27
151,137,Tyler Duncan,56,64.58,651,"1,008",-0.24
T152,T142,Adam Long,53,64.56,581,900,-0.29
T152,T163,Pat Perez,58,64.56,674,"1,044",-0.28
154,T145,Rory Sabbatini,47,64.54,546,846,-0.32
155,162,Tom Lewis,38,64.47,441,684,-0.23
156,T128,Peter Malnati,46,64.37,533,828,-0.35
157,T145,Rickie Fowler,50,64.33,579,900,-0.27
158,159,Kris Ventura,48,64.24,555,864,-0.31
T159,T163,Victor Perez,25,64.2,208,324,-0.24
T159,152,"Ted Potter, Jr.",36,64.2,416,648,-0.27
161,161,Kyoung-Hoon Lee,56,64.19,647,"1,008",-0.3
162,151,Andrew Landry,42,64.15,485,756,-0.26
163,169,Josh Teater,26,64.1,300,468,-0.32
164,T170,Grayson Murray,34,64.05,392,612,-0.27
165,158,Chesson Hadley,38,64.04,438,684,-0.28
166,157,Satoshi Kodaira,44,64.02,507,792,-0.25
167,173,Mark Hubbard,52,64,599,936,-0.3
168,T155,Troy Merritt,56,63.99,645,"1,008",-0.23
169,T174,Richy Werenski,48,63.89,552,864,-0.31
170,160,Xinjun Zhang,48,63.77,551,864,-0.26
171,T170,Anirban Lahiri,38,63.74,436,684,-0.35
172,176,Ben Taylor,30,63.7,344,540,-0.25
T173,T132,Nick Watney,28,63.69,321,504,-0.2
T173,177,Francesco Molinari,28,63.69,321,504,-0.28
175,178,Steve Stricker,26,63.68,298,468,-0.28
176,T165,Ben Martin,24,63.66,275,432,-0.29
177,172,Scott Brown,46,63.65,527,828,-0.27
T178,179,Seamus Power,22,63.64,252,396,-0.22
T178,T165,Jordan Spieth,48,63.64,504,792,-0.36
180,167,Rob Oppenheim,44,63.38,502,792,-0.29
181,191,Erik van Rooyen,41,63.21,421,666,-0.28
182,183,Keith Mitchell,46,63.16,523,828,-0.28
183,168,Beau Hossler,50,63.11,568,900,-0.29
184,186,J.T. Poston,49,63.04,522,828,-0.33
185,187,Lee Westwood,29,63.03,295,468,-0.24
186,188,Fabián Gómez,35,63.02,397,630,-0.22
187,189,Bo Van Pelt,38,62.87,430,684,-0.27
188,192,Jamie Lovemark,34,62.75,384,612,-0.27
189,T174,Brian Gay,38,62.72,429,684,-0.26
190,181,Danny Lee,36,62.65,406,648,-0.26
191,184,Adam Hadwin,52,62.61,586,936,-0.3
T192,182,Bernd Wiesberger,27,62.5,270,432,-0.22
T192,T193,Gary Woodland,32,62.5,360,576,-0.29
194,190,Michael Kim,40,62.22,448,720,-0.21
195,180,Sebastian Cappelen,36,62.19,403,648,-0.31
196,206,Rafa Cabrera Bello,38,62.13,425,684,-0.26
T197,202,Brandt Snedeker,44,62.12,492,792,-0.3
T197,198,John Senden,22,62.12,246,396,-0.2
199,200,Robby Shelton,46,62.08,514,828,-0.28
200,195,Kelly Kraft,36,62.04,402,648,-0.28
201,199,Henrik Stenson,25,62,279,450,-0.22
202,203,Rhein Gibson,36,61.27,397,648,-0.27
203,207,Alex Noren,44,61.24,485,792,-0.29
204,205,Scott Harrington,50,61.22,551,900,-0.26
T205,T193,Danny Willett,23,61.11,253,414,-0.28
T205,204,Graeme McDowell,30,61.11,330,540,-0.22
207,208,Sung Kang,48,60.88,526,864,-0.25
208,196,Wesley Bryan,22,60.86,241,396,-0.32
209,197,J.B. Holmes,28,60.71,306,504,-0.29
210,201,Padraig Harrington,30,60.19,325,540,-0.27
211,209,Kevin Stadler,25,59.78,269,450,-0.21
212,211,Christiaan Bezuidenhout,23,58.89,212,360,-0.25
213,212,Peter Uihlein,20,58.61,211,360,-0.3
214,210,Kiradech Aphibarnrat,25,58,261,450,-0.25
T215,214,Jimmy Walker,38,57.89,396,684,-0.25
T215,213,Hunter Mahan,38,57.89,396,684,-0.27
217,217,Martin Trainer,35,55.87,352,630,-0.28
218,216,Matt Every,25,55.78,251,450,-0.18
219,215,D.A. Points,22,55.3,219,396,-0.22
