RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Stewart Cink,42,74.07,560,756,-0.29
2,2,Matthew NeSmith,52,73.29,686,936,-0.26
3,3,Emiliano Grillo,60,73.06,789,"1,080",-0.29
4,4,Cameron Percy,42,72.75,550,756,-0.26
5,5,Collin Morikawa,39,72.53,470,648,-0.33
6,6,Jon Rahm,45,72.5,522,720,-0.33
7,12,Aaron Wise,42,71.83,543,756,-0.24
8,8,Russell Henley,45,71.69,542,756,-0.3
9,10,James Hahn,42,71.56,541,756,-0.3
10,11,Joaquin Niemann,51,71.53,618,864,-0.33
11,13,Corey Conners,57,71.4,694,972,-0.32
12,9,Russell Knox,52,71.37,668,936,-0.25
13,7,Martin Laird,44,71.09,563,792,-0.26
14,14,Abraham Ancer,51,71.06,614,864,-0.3
15,17,Viktor Hovland,45,70.77,535,756,-0.32
16,18,Ryan Palmer,45,70.63,534,756,-0.33
17,19,Webb Simpson,41,70.61,483,684,-0.32
18,20,Jason Kokrak,49,70.53,584,828,-0.32
19,21,Sergio Garcia,41,70.52,457,648,-0.31
20,22,Daniel Berger,41,70.47,482,684,-0.34
21,15,Sam Ryder,48,70.37,608,864,-0.26
22,24,Dustin Johnson,31,70.24,354,504,-0.33
23,25,Kevin Streelman,54,70.22,632,900,-0.3
24,26,Justin Suh,22,70.2,278,396,-0.33
25,16,Henrik Norlander,48,70.14,606,864,-0.22
26,27,Kyle Stanley,54,70.06,681,972,-0.25
27,28,Will Zalatoris,53,70,630,900,-0.3
28,31,Patrick Cantlay,41,69.88,478,684,-0.32
29,39,Patton Kizzire,56,69.84,704,"1,008",-0.32
30,33,Justin Thomas,41,69.74,477,684,-0.41
31,35,Sungjae Im,69,69.7,828,"1,188",-0.33
32,37,Xander Schauffele,41,69.59,476,684,-0.36
33,38,Billy Horschel,51,69.57,551,792,-0.29
34,30,Zach Johnson,50,69.56,626,900,-0.27
35,40,Kevin Tway,26,69.44,325,468,-0.24
36,23,Scottie Scheffler,55,69.33,599,864,-0.33
37,34,Sam Burns,42,69.31,524,756,-0.34
38,36,Cameron Tringale,54,69.24,673,972,-0.32
39,42,Charley Hoffman,61,69.22,760,"1,098",-0.31
40,32,Keegan Bradley,52,69.12,647,936,-0.28
41,41,Joseph Bramlett,46,69.08,572,828,-0.26
42,29,Roger Sloan,44,69.07,547,792,-0.25
43,49,Chris Kirk,48,68.98,596,864,-0.3
