RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
49,53,Si Woo Kim,58,70.69,"3,860",27.931,55
50,40,Matt Wallace,31,70.693,"1,999",- 19.601,28
51,54,Steve Stricker,26,70.705,"1,845",- 6.660,26
52,55,Cameron Davis,50,70.715,"3,511",24.761,50
53,56,Wyndham Clark,42,70.744,"2,950",21.261,42
54,58,Aaron Wise,42,70.758,"2,953",18.832,42
55,59,Sam Burns,42,70.763,"2,951",21.060,42
56,60,Roger Sloan,44,70.767,"3,096",17.729,44
57,46,Carlos Ortiz,53,70.79,"3,483",56.496,50
58,62,Andrew Putnam,57,70.799,"4,002",33.543,57
59,63,Scottie Scheffler,59,70.815,"3,644",38.370,52
60,64,Charles Howell III,46,70.818,"3,249",8.642,46
61,T65,Matthew NeSmith,52,70.822,"3,660",22.737,52
62,67,Anirban Lahiri,38,70.823,"2,668",23.278,38
63,68,Brice Garnett,54,70.824,"3,789",35.522,54
64,57,Lanto Griffin,59,70.836,"3,950",16.788,56
65,51,Jason Day,48,70.847,"3,183",5.093,45
66,69,Peter Malnati,46,70.851,"3,230",29.142,46
67,70,Denny McCarthy,54,70.856,"3,813",13.206,54
T68,T71,Tom Hoge,56,70.88,"3,928",41.260,56
T68,T71,Lucas Glover,54,70.88,"3,825",2.527,54
70,61,Sergio Garcia,43,70.884,"2,663",30.579,38
71,73,Erik van Rooyen,41,70.9,"2,635",- 11.702,37
72,75,Jhonattan Vegas,46,70.913,"3,251",11.020,46
T73,48,Adam Scott,44,70.914,"3,125",- 4.779,44
T73,T76,Bo Hoag,52,70.914,"3,663",24.530,52
75,78,Russell Knox,52,70.916,"3,660",27.610,52
76,80,Cameron Percy,42,70.956,"2,964",16.153,42
77,81,Scott Piercy,42,70.97,"2,952",28.755,42
78,82,Branden Grace,48,70.993,"3,397",10.645,48
79,84,Harold Varner III,46,71.003,"3,253",13.152,46
80,T76,Brendon Todd,57,71.016,"3,804",30.866,54
81,86,J.T. Poston,49,71.018,"3,254",12.806,46
82,87,Chase Seiffert,48,71.049,"3,387",23.348,48
83,74,Lee Westwood,31,71.065,"2,015",- 25.189,28
84,88,Austin Cook,42,71.076,"2,954",31.188,42
85,89,Adam Hadwin,52,71.079,"3,686",10.105,52
86,90,Harry Higgs,42,71.093,"2,956",29.896,42
87,91,Adam Long,53,71.108,"3,547",8.418,50
88,85,C.T. Pan,50,71.11,"3,533",22.482,50
89,93,Ian Poulter,34,71.151,"2,141",- 6.472,30
90,94,Rory Sabbatini,47,71.158,"3,334",10.419,47
91,83,Billy Horschel,55,71.166,"3,387",28.946,48
92,95,Pat Perez,58,71.171,"4,107",20.937,58
93,96,Chesson Hadley,38,71.18,"2,703",1.840,38
94,92,Mackenzie Hughes,52,71.188,"3,396",21.028,48
95,97,Ryan Armour,46,71.193,"3,250",24.863,46
96,98,Scott Stallings,38,71.199,"2,685",20.574,38
97,79,Francesco Molinari,32,71.216,"2,280",- 1.079,32
98,100,Nate Lashley,56,71.245,"3,959",30.700,56
99,99,Michael Thompson,48,71.246,"3,400",19.797,48
100,101,Luke List,51,71.251,"3,613",20.798,51
101,102,Maverick McNealy,42,71.253,"2,975",17.615,42
102,103,Doc Redman,40,71.257,"2,833",17.285,40
103,104,Alex Noren,44,71.261,"3,144",- 8.537,44
104,105,Mark Hubbard,52,71.263,"3,676",29.661,52
105,114,Kevin Na,48,71.27,"3,175",32.160,45
106,106,Kevin Chappell,28,71.271,"1,982",13.576,28
107,107,Bubba Watson,38,71.278,"2,423",.446,34
108,137,Justin Rose,26,71.28,"1,850",3.272,26
109,108,Troy Merritt,56,71.282,"3,981",10.796,56
110,112,Sam Ryder,48,71.325,"3,404",19.613,48
111,113,Brendan Steele,54,71.326,"3,811",40.629,54
112,115,Josh Teater,26,71.344,"1,838",16.953,26
113,116,D.J. Trahan,40,71.347,"2,836",17.884,40
114,111,Sebastián Muñoz,63,71.362,"4,251",30.718,60
115,118,Bronson Burgoon,44,71.364,"3,124",16.035,44
116,119,Camilo Villegas,41,71.378,"2,911",15.485,41
117,110,Kevin Kisner,39,71.411,"2,543",27.813,36
118,120,Joel Dahmen,50,71.446,"3,539",33.298,50
119,109,Danny Willett,25,71.452,"1,804",- 17.695,25
120,121,Henrik Norlander,48,71.453,"3,410",19.760,48
121,122,Vincent Whaley,46,71.455,"3,262",24.921,46
122,123,Adam Schenk,56,71.468,"3,971",31.198,56
123,124,Patrick Rodgers,56,71.471,"3,987",15.403,56
124,117,Robert Streb,40,71.475,"2,829",29.981,40
125,125,David Hearn,38,71.476,"2,705",11.102,38
126,127,Charl Schwartzel,48,71.479,"3,423",8.014,48
127,128,Will Gordon,60,71.5,"4,267",23.009,60
128,129,Aaron Baddeley,32,71.507,"2,265",23.236,32
129,130,Hank Lebioda,38,71.51,"2,698",19.386,38
130,150,Marc Leishman,47,71.523,"3,125",22.005,44
131,132,Brandon Hagy,40,71.531,"2,845",16.256,40
132,133,Brian Stuard,58,71.534,"4,116",32.973,58
T133,134,Ryan Brehm,32,71.537,"2,273",16.168,32
T133,126,Matt Kuchar,47,71.537,"2,834",27.482,40
135,136,Vaughn Taylor,47,71.549,"3,335",27.821,47
136,138,Kyoung-Hoon Lee,56,71.559,"3,971",36.302,56
137,139,Graeme McDowell,30,71.575,"2,158",- 10.738,30
138,131,Matthew Wolff,36,71.579,"2,348",14.101,33
139,140,Tyler McCumber,46,71.581,"3,280",12.709,46
140,141,Chez Reavie,44,71.587,"3,127",22.844,44
141,142,Tom Lewis,38,71.598,"2,727",- 6.279,38
142,143,Kyle Stanley,54,71.618,"3,827",40.383,54
143,135,Tommy Fleetwood,37,71.638,"2,288",4.406,32
144,145,Keith Mitchell,46,71.647,"3,276",19.773,46
145,144,Martin Laird,48,71.655,"3,408",31.441,48
146,146,Rickie Fowler,50,71.656,"3,584",- 1.185,50
147,147,Richy Werenski,48,71.664,"3,403",36.862,48
148,149,Rafael Campos,32,71.702,"2,283",11.479,32
149,151,Rob Oppenheim,44,71.728,"3,124",32.053,44
150,152,Tyler Duncan,56,71.733,"4,011",6.056,56
151,153,Kramer Hickok,38,71.754,"2,712",14.661,38
152,154,Brandt Snedeker,44,71.756,"3,153",4.246,44
T153,T155,Nick Taylor,52,71.757,"3,680",51.348,52
T153,T155,Satoshi Kodaira,44,71.757,"3,123",34.326,44
155,157,Ben Martin,24,71.761,"1,715",7.255,24
156,148,Dylan Frittelli,44,71.763,"2,854",16.519,40
157,158,Kris Ventura,48,71.775,"3,432",13.210,48
158,159,Wesley Bryan,22,71.782,"1,570",9.199,22
T159,T160,Padraig Harrington,30,71.786,"2,158",- 4.421,30
T159,T160,Jason Dufner,44,71.786,"3,147",11.564,44
161,162,Tim Wilkinson,36,71.805,"2,563",21.976,36
162,163,Bill Haas,26,71.832,"1,853",14.643,26
163,164,"Ted Potter, Jr.",36,71.839,"2,574",12.198,36
164,166,Nelson Ledesma,26,71.865,"1,846",22.487,26
165,167,Michael Gligic,42,71.874,"2,991",27.709,42
166,168,Joseph Bramlett,46,71.883,"3,281",25.621,46
167,169,Kevin Tway,26,71.884,"1,849",19.986,26
T168,T171,Fabián Gómez,35,71.908,"2,497",19.786,35
T168,T171,Robby Shelton,46,71.908,"3,287",20.760,46
170,174,Seamus Power,22,71.92,"1,572",10.236,22
171,173,Gary Woodland,36,71.927,"2,593",- 3.633,36
172,175,Mark Anderson,34,71.929,"2,424",21.580,34
173,176,Xinjun Zhang,48,71.944,"3,427",26.323,48
174,177,Scott Harrington,50,71.957,"3,588",9.829,50
175,178,Ben Taylor,30,71.977,"2,139",20.303,30
176,179,Kelly Kraft,36,72.014,"2,583",9.516,36
177,180,Scott Brown,46,72.018,"3,286",26.822,46
178,181,Rafa Cabrera Bello,38,72.032,"2,738",- .777,38
179,182,Kiradech Aphibarnrat,25,72.049,"1,800",1.219,25
180,183,K.J. Choi,30,72.067,"2,142",20.008,30
181,T184,Beau Hossler,50,72.092,"3,583",21.597,50
182,186,Jamie Lovemark,34,72.116,"2,421",30.946,34
183,188,Danny Lee,36,72.171,"2,597",1.155,36
184,189,Jonathan Byrd,26,72.176,"1,860",16.571,26
185,191,Byeong Hun An,44,72.186,"3,158",18.193,44
186,194,Henrik Stenson,29,72.217,"2,105",- 10.702,29
187,192,Sebastian Cappelen,36,72.237,"2,583",17.549,36
T188,187,Brian Gay,40,72.244,"2,865",24.771,40
T188,T184,Jim Herman,38,72.244,"2,733",12.284,38
190,193,Luke Donald,30,72.275,"2,157",11.243,30
191,198,Phil Mickelson,38,72.284,"2,750",- 3.211,38
192,195,Chris Baker,28,72.336,"2,005",20.411,28
193,196,J.J. Spaun,38,72.345,"2,723",26.121,38
194,199,Cameron Champ,42,72.371,"3,014",25.571,42
195,197,J.B. Holmes,28,72.379,"2,016",10.613,28
196,190,Hudson Swafford,44,72.386,"3,149",36.001,44
197,200,Rhein Gibson,36,72.486,"2,597",12.507,36
198,201,Bo Van Pelt,38,72.502,"2,740",15.068,38
199,202,Andrew Landry,42,72.504,"3,006",39.155,42
200,203,Sean O'Hair,25,72.529,"1,799",14.229,25
201,204,Michael Kim,40,72.71,"2,886",22.405,40
202,205,Grayson Murray,34,72.758,"2,458",15.756,34
203,206,Jimmy Walker,40,72.816,"2,914",- 1.376,40
204,207,Nick Watney,28,72.977,"2,025",18.367,28
205,208,D.A. Points,22,73.017,"1,599",7.364,22
206,209,Sung Kang,48,73.33,"3,509",10.850,48
207,210,Martin Trainer,35,73.423,"2,553",16.796,35
208,211,Hunter Mahan,38,73.578,"2,774",21.975,38
209,212,Michael Gellerman,23,73.702,"1,677",18.144,23
210,213,Kevin Stadler,25,73.721,"1,837",6.026,25
211,214,John Senden,22,73.881,"1,614",11.372,22
212,215,Matt Every,25,74.468,"1,853",8.702,25
