RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,5,Russell Henley,45,69.708,"2,892",35.748,42
2,1,Bryson DeChambeau,37,69.769,"2,370",2.144,34
3,2,Justin Thomas,45,69.778,"2,909",21.668,42
4,7,Xander Schauffele,45,69.819,"2,920",12.405,42
5,4,Joaquin Niemann,55,69.867,"3,601",32.075,52
6,3,Dustin Johnson,33,69.881,"2,103",- 6.577,30
7,9,Jon Rahm,49,69.885,"3,061",13.947,44
8,8,Tony Finau,51,69.921,"3,349",7.225,48
9,6,Webb Simpson,45,69.926,"2,899",37.912,42
10,12,Will Zalatoris,57,69.929,"3,773",3.171,54
11,11,Viktor Hovland,49,70.063,"3,220",2.899,46
12,14,Cameron Tringale,54,70.065,"3,765",18.534,54
13,18,Corey Conners,61,70.102,"4,049",16.924,58
14,17,Cameron Smith,49,70.119,"3,198",27.484,46
15,20,Chris Kirk,48,70.152,"3,346",21.315,48
16,10,Brooks Koepka,32,70.159,"2,237",8.074,32
T17,16,Daniel Berger,43,70.195,"2,780",27.800,40
T17,15,Louis Oosthuizen,41,70.195,"2,667",.417,38
19,19,Matt Jones,62,70.211,"4,333",20.085,62
20,23,Patrick Reed,39,70.23,"2,523",5.288,36
21,22,Brian Harman,63,70.264,"4,043",32.301,58
22,13,Patrick Cantlay,43,70.267,"2,786",24.682,40
23,26,Emiliano Grillo,60,70.324,"4,169",50.453,60
24,24,Tyrrell Hatton,37,70.344,"2,390",1.701,34
25,27,Talor Gooch,53,70.353,"3,495",22.666,50
26,21,Sungjae Im,71,70.387,"4,752",34.308,68
27,30,James Hahn,42,70.396,"2,919",37.638,42
28,37,Jordan Spieth,52,70.41,"3,375",4.694,48
29,32,Charley Hoffman,61,70.411,"4,259",36.045,61
30,33,John Huh,38,70.43,"2,662",14.338,38
31,31,Harris English,49,70.453,"3,207",33.860,46
32,25,Zach Johnson,52,70.456,"3,656",7.714,52
33,29,Max Homa,53,70.475,"3,519",4.767,50
T34,36,Patton Kizzire,56,70.488,"3,903",44.331,56
T34,T49,Hideki Matsuyama,61,70.488,"4,067",21.310,58
36,38,Kevin Streelman,54,70.525,"3,500",26.227,50
37,39,Keegan Bradley,52,70.545,"3,654",14.345,52
38,28,Rory McIlroy,41,70.554,"2,685",- 3.963,38
39,35,Matt Fitzpatrick,39,70.592,"2,541",.313,36
40,T43,Collin Morikawa,43,70.6,"2,792",32.011,40
41,47,Doug Ghim,52,70.619,"3,648",24.176,52
42,42,Abraham Ancer,55,70.63,"3,641",31.761,52
T43,T49,Sepp Straka,62,70.632,"4,347",32.194,62
T43,41,Paul Casey,41,70.632,"2,682",2.015,38
T43,34,Jason Kokrak,53,70.632,"3,512",19.582,50
46,45,Shane Lowry,43,70.646,"2,841",- 15.177,40
47,T43,Ryan Palmer,49,70.663,"3,209",41.490,46
48,52,Stewart Cink,46,70.678,"3,211",40.199,46
