RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
115,116,Whee Kim,73,66.18,822,"1,242",-0.25
116,117,Sung Kang,86,66.14,"1,000","1,512",-0.27
117,118,Robert Streb,80,66.13,857,"1,296",-0.26
118,119,Henrik Stenson,58,66.11,595,900,-0.26
119,120,Branden Grace,76,66.09,809,"1,224",-0.25
120,121,Peter Uihlein,84,66.03,927,"1,404",-0.29
121,122,Kyle Jones,72,65.99,784,"1,188",-0.23
122,123,Denny McCarthy,89,65.98,962,"1,458",-0.33
123,124,Stephan Jaeger,77,65.96,843,"1,278",-0.27
124,125,Wyndham Clark,87,65.95,"1,009","1,530",-0.34
125,126,Andrew Putnam,81,65.94,902,"1,368",-0.32
126,127,Richy Werenski,89,65.93,985,"1,494",-0.28
127,112,Webb Simpson,81,65.81,924,"1,404",-0.32
128,129,Tom Hoge,98,65.8,"1,066","1,620",-0.26
129,130,Michael Thompson,71,65.73,840,"1,278",-0.29
130,131,Austin Cook,68,65.71,757,"1,152",-0.3
131,132,J.B. Holmes,78,65.57,838,"1,278",-0.27
132,135,Luke List,66,65.43,742,"1,134",-0.28
133,136,Pat Perez,68,65.32,729,"1,116",-0.28
T134,T137,Alex Noren,63,65.28,705,"1,080",-0.26
T134,T137,Adam Long,76,65.28,893,"1,368",-0.24
T134,T137,Mackenzie Hughes,80,65.28,893,"1,368",-0.28
137,140,Jonathan Byrd,55,65.19,575,882,-0.27
138,141,Daniel Berger,70,65.15,774,"1,188",-0.28
139,142,Max Homa,82,65.14,938,"1,440",-0.28
140,143,Jonas Blixt,82,65.13,891,"1,368",-0.29
141,144,Roger Sloan,88,65.08,984,"1,512",-0.3
142,145,Ryan Blaum,90,64.97,959,"1,476",-0.28
143,T151,Brandt Snedeker,102,64.93,"1,157","1,782",-0.29
144,146,Si Woo Kim,87,64.91,958,"1,476",-0.32
145,147,Brian Stuard,98,64.89,"1,098","1,692",-0.27
T146,T148,Graeme McDowell,75,64.79,828,"1,278",-0.28
T146,T148,Sam Saunders,78,64.79,863,"1,332",-0.28
148,150,Justin Rose,66,64.78,723,"1,116",-0.34
149,T151,Sam Burns,80,64.74,909,"1,404",-0.31
T150,T153,Jimmy Walker,74,64.71,862,"1,332",-0.23
T150,T153,Sangmoon Bae,60,64.71,629,972,-0.26
T150,T153,Patrick Rodgers,55,64.71,594,918,-0.29
153,156,Bill Haas,77,64.65,803,"1,242",-0.27
154,157,Chesson Hadley,76,64.64,861,"1,332",-0.27
155,158,Brady Schnell,53,64.49,592,918,-0.26
T156,T159,Alex Cejka,58,64.44,580,900,-0.22
T156,T159,Kevin Na,65,64.44,696,"1,080",-0.27
158,161,Brian Gay,93,64.36,"1,031","1,602",-0.27
159,162,José de Jesús Rodríguez,67,64.27,752,"1,170",-0.29
T160,T163,Phil Mickelson,63,64.17,693,"1,080",-0.3
T160,T163,Brian Harman,91,64.17,"1,028","1,602",-0.28
162,165,C.T. Pan,84,64.16,947,"1,476",-0.27
163,166,Rod Pampling,56,64,599,936,-0.22
164,167,Peter Malnati,87,63.99,956,"1,494",-0.3
165,168,Patton Kizzire,76,63.96,852,"1,332",-0.31
166,169,Matt Fitzpatrick,54,63.94,587,918,-0.29
167,170,Ernie Els,51,63.72,562,882,-0.24
168,171,Cameron Smith,79,63.66,848,"1,332",-0.29
169,172,Francesco Molinari,61,63.58,618,972,-0.25
170,173,Satoshi Kodaira,67,63.54,732,"1,152",-0.25
171,174,Julián Etulain,70,63.5,743,"1,170",-0.26
172,175,Aaron Baddeley,55,63.33,627,990,-0.3
173,176,Sergio Garcia,53,63.26,501,792,-0.3
174,177,Freddie Jacobson,53,63.18,580,918,-0.27
T175,T178,Rafa Cabrera Bello,71,62.99,771,"1,224",-0.31
T175,T178,Chris Stroud,70,62.99,703,"1,116",-0.28
177,180,Anirban Lahiri,73,62.96,782,"1,242",-0.28
178,181,Ollie Schniederjans,77,62.89,849,"1,350",-0.31
179,182,Jordan Spieth,82,62.8,893,"1,422",-0.34
180,183,Zach Johnson,64,62.59,721,"1,152",-0.27
181,185,Curtis Luck,65,62.43,663,"1,062",-0.28
182,186,Kelly Kraft,87,62.41,910,"1,458",-0.29
183,187,Seamus Power,80,62.19,806,"1,296",-0.26
184,188,Scott Langley,78,62.01,826,"1,332",-0.29
185,189,Kiradech Aphibarnrat,65,61.65,688,"1,116",-0.28
186,190,Cody Gribble,74,61.62,732,"1,188",-0.31
187,191,Martin Trainer,63,60.47,664,"1,098",-0.29
188,192,Michael Kim,61,60.08,638,"1,062",-0.23
