RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Hideki Matsuyama,18,"2,869",3,7,0,NA
2,2,Justin Thomas,21,"2,689",4,9,180,NA
3,3,Jordan Spieth,19,"2,671",3,8,198,NA
4,4,Dustin Johnson,16,"2,466",3,7,403,NA
5,5,Rickie Fowler,17,"1,832",1,9,"1,037",NA
6,6,Jon Rahm,19,"1,754",1,7,"1,115",NA
7,7,Brooks Koepka,20,"1,736",1,6,"1,133",NA
8,8,Daniel Berger,22,"1,623",1,6,"1,246",NA
9,9,Kevin Kisner,24,"1,612",1,7,"1,257",NA
10,10,Brian Harman,26,"1,557",1,7,"1,312",NA
11,11,Charley Hoffman,27,"1,498",0,7,"1,371",NA
12,12,Pat Perez,22,"1,461",1,5,"1,408",NA
13,13,Adam Hadwin,24,"1,347",1,5,"1,522",NA
14,14,Marc Leishman,21,"1,324",1,5,"1,545",NA
15,15,Matt Kuchar,22,"1,260",0,6,"1,609",NA
16,16,Brendan Steele,22,"1,226",1,4,"1,643",NA
17,17,Kyle Stanley,25,"1,204",1,5,"1,665",NA
18,18,Paul Casey,20,"1,135",0,6,"1,734",NA
19,19,Russell Henley,23,"1,129",1,4,"1,740",NA
20,20,Jason Dufner,20,"1,126",1,2,"1,743",NA
21,21,Charles Howell III,20,"1,102",0,5,"1,767",NA
22,22,Sergio Garcia,14,"1,085",1,2,"1,784",NA
23,23,Henrik Stenson,13,"1,079",1,3,"1,790",NA
24,24,Billy Horschel,25,"1,068",1,4,"1,801",NA
25,25,Webb Simpson,24,"1,058",0,4,"1,811",NA
26,26,Gary Woodland,22,"1,052",0,5,"1,817",NA
27,27,Wesley Bryan,25,"1,046",1,5,"1,823",NA
28,28,Tony Finau,25,"1,024",0,6,"1,845",NA
29,29,Jhonattan Vegas,25,"1,023",1,3,"1,846",NA
30,30,Kevin Chappell,23,"1,015",1,4,"1,854",NA
31,31,Francesco Molinari,18,"1,010",0,5,"1,859",NA
32,32,Justin Rose,14,996,0,4,"1,873",NA
33,33,Xander Schauffele,24,988,1,3,"1,881",NA
34,34,Mackenzie Hughes,28,974,1,2,"1,895",NA
35,35,Louis Oosthuizen,15,956,0,3,"1,913",NA
36,36,Bill Haas,22,946,0,3,"1,923",NA
37,37,Hudson Swafford,25,921,1,4,"1,948",NA
38,38,Patrick Reed,25,896,0,3,"1,973",NA
39,39,Ollie Schniederjans,25,882,0,5,"1,987",NA
40,40,Cameron Smith,23,847,1,4,"2,022",NA
41,41,Si Woo Kim,27,839,1,2,"2,030",NA
42,42,Zach Johnson,20,839,0,4,"2,030",NA
43,43,Bryson DeChambeau,28,836,1,2,"2,033",NA
44,44,Rory McIlroy,11,803,0,6,"2,066",NA
45,45,Sung Kang,29,798,0,3,"2,071",NA
46,46,Keegan Bradley,26,794,0,5,"2,075",NA
47,47,Jamie Lovemark,25,787,0,4,"2,082",NA
48,48,Ian Poulter,17,760,0,2,"2,109",NA
49,49,Jason Day,16,756,0,3,"2,113",NA
50,50,Luke List,28,741,0,3,"2,128",NA
51,51,Phil Mickelson,19,734,0,4,"2,135",NA
52,52,Charl Schwartzel,15,727,0,3,"2,142",NA
53,53,James Hahn,25,711,0,4,"2,158",NA
54,54,Sean O'Hair,22,707,0,5,"2,162",NA
55,55,Lucas Glover,23,706,0,4,"2,163",NA
56,56,Danny Lee,29,697,0,4,"2,172",NA
57,57,Martin Laird,22,676,0,5,"2,193",NA
58,58,Kelly Kraft,25,672,0,3,"2,197",NA
59,59,Ryan Moore,21,671,0,2,"2,198",NA
60,60,Russell Knox,22,669,0,4,"2,200",NA
61,61,Anirban Lahiri,19,667,0,2,"2,202",NA
62,62,Bud Cauley,25,666,0,5,"2,203",NA
63,63,Chez Reavie,25,666,0,3,"2,203",NA
64,64,Brandt Snedeker,15,663,0,4,"2,206",NA
65,65,Scott Brown,26,646,0,2,"2,223",NA
66,66,Adam Scott,15,642,0,4,"2,227",NA
67,67,Graham DeLaet,23,640,0,6,"2,229",NA
68,68,Patrick Rodgers,25,639,0,3,"2,230",NA
69,69,Grayson Murray,27,638,1,2,"2,231",NA
70,70,Rod Pampling,20,630,1,1,"2,239",NA
71,71,Chris Stroud,20,627,1,3,"2,242",NA
72,72,Kevin Tway,24,619,0,3,"2,250",NA
73,73,Chad Campbell,27,616,0,3,"2,253",NA
74,74,Rafa Cabrera Bello,16,615,0,4,"2,254",NA
75,75,Kevin Na,23,584,0,4,"2,285",NA
76,76,Stewart Cink,23,583,0,3,"2,286",NA
77,77,Jonas Blixt,23,578,1,1,"2,291",NA
78,78,Patrick Cantlay,9,578,0,2,"2,291",NA
79,79,Robert Streb,27,577,0,2,"2,292",NA
80,80,Morgan Hoffmann,27,565,0,1,"2,304",NA
81,81,Jim Herman,23,553,0,2,"2,316",NA
82,82,J.B. Holmes,22,543,0,2,"2,326",NA
83,83,Kevin Streelman,24,541,0,2,"2,328",NA
84,84,Nick Taylor,27,532,0,4,"2,337",NA
85,85,Scott Piercy,22,532,0,4,"2,337",NA
86,86,C.T. Pan,27,527,0,3,"2,342",NA
87,87,Patton Kizzire,26,519,0,3,"2,350",NA
88,88,Emiliano Grillo,22,518,0,2,"2,351",NA
89,89,Cody Gribble,26,514,1,2,"2,355",NA
90,90,Branden Grace,18,510,0,2,"2,359",NA
91,91,J.J. Spaun,27,510,0,3,"2,359",NA
92,92,Whee Kim,25,505,0,2,"2,364",NA
93,93,William McGirt,26,499,0,3,"2,370",NA
94,94,Jason Kokrak,26,490,0,1,"2,379",NA
95,95,Michael Kim,26,483,0,1,"2,386",NA
96,96,Byeong Hun An,21,468,0,3,"2,401",NA
97,97,Chris Kirk,26,467,0,3,"2,402",NA
98,98,Camilo Villegas,23,464,0,2,"2,405",NA
99,99,Robert Garrigus,25,448,0,3,"2,421",NA
100,100,Seung-Yul Noh,30,446,0,3,"2,423",NA
101,101,Jimmy Walker,20,439,0,1,"2,430",NA
102,102,Scott Stallings,26,438,0,3,"2,431",NA
103,103,David Lingmerth,21,437,0,1,"2,432",NA
104,104,D.A. Points,21,435,1,1,"2,434",NA
105,105,Ryan Blaum,28,434,0,2,"2,435",NA
106,106,Brian Gay,24,426,0,3,"2,443",NA
107,107,Luke Donald,17,424,0,1,"2,445",NA
108,108,Richy Werenski,25,423,0,3,"2,446",NA
109,109,Brandon Hagy,25,419,0,1,"2,450",NA
110,110,Steve Stricker,12,410,0,2,"2,459",NA
111,111,Derek Fathauer,26,408,0,2,"2,461",NA
112,112,Tyrone Van Aswegen,31,407,0,1,"2,462",NA
113,113,Bubba Watson,20,397,0,3,"2,472",NA
114,114,Harris English,26,397,0,2,"2,472",NA
115,115,Dominic Bozzelli,24,394,0,3,"2,475",NA
116,116,Geoff Ogilvy,24,390,0,1,"2,479",NA
117,117,Nick Watney,22,386,0,1,"2,483",NA
118,118,Martin Flores,26,383,0,2,"2,486",NA
119,119,John Huh,27,382,0,2,"2,487",NA
120,120,Blayne Barber,24,381,0,1,"2,488",NA
121,121,Ben Martin,26,378,0,2,"2,491",NA
122,122,Rory Sabbatini,22,375,0,1,"2,494",NA
123,123,Harold Varner III,29,375,0,1,"2,494",NA
124,124,Vaughn Taylor,25,369,0,NA,"2,500",NA
125,125,J.J. Henry,28,365,0,2,"2,504",NA
126,126,Zac Blair,32,364,0,1,"2,505",NA
127,127,Shane Lowry,16,361,0,1,"2,508",NA
128,128,David Hearn,29,359,0,2,"2,510",NA
129,129,Sam Saunders,24,354,0,2,"2,515",NA
130,130,Seamus Power,25,350,0,1,"2,519",NA
131,131,Daniel Summerhays,29,348,0,1,"2,521",NA
132,132,J.T. Poston,28,340,0,1,"2,529",NA
133,133,Cameron Tringale,28,337,0,3,"2,532",NA
134,134,Ryan Palmer,20,336,0,3,"2,533",NA
135,135,Billy Hurley III,25,333,0,1,"2,536",NA
136,136,Graeme McDowell,17,331,0,NA,"2,538",NA
137,137,Trey Mullinax,28,330,0,1,"2,539",NA
138,138,Aaron Baddeley,20,325,0,2,"2,544",NA
139,139,Ricky Barnes,31,324,0,NA,"2,545",NA
140,140,Johnson Wagner,26,321,0,2,"2,548",NA
141,141,Smylie Kaufman,26,316,0,1,"2,553",NA
142,142,Greg Owen,17,314,0,2,"2,555",NA
143,143,Chad Collins,26,305,0,2,"2,564",NA
144,144,Cameron Percy,23,291,0,1,"2,578",NA
145,145,Brian Stuard,31,285,0,NA,"2,584",NA
146,146,Søren Kjeldsen,17,283,0,1,"2,586",NA
147,147,Ben Crane,26,281,0,1,"2,588",NA
148,148,Michael Thompson,21,278,0,1,"2,591",NA
149,149,Alex Cejka,28,276,0,1,"2,593",NA
150,150,Rick Lamb,19,269,0,1,"2,600",NA
151,151,Troy Merritt,28,265,0,1,"2,604",NA
152,152,Matt Jones,20,248,0,NA,"2,621",NA
153,153,Sebastián Muñoz,17,241,0,1,"2,628",NA
154,154,Kyle Reifers,32,241,0,NA,"2,628",NA
155,155,Tag Ridings,20,237,0,1,"2,632",NA
156,156,Tim Wilkinson,22,233,0,NA,"2,636",NA
157,157,Jim Furyk,18,232,0,1,"2,637",NA
158,158,Andres Gonzales,24,226,0,1,"2,643",NA
159,159,Ryan Armour,20,222,0,1,"2,647",NA
160,160,Jonathan Randolph,22,221,0,1,"2,648",NA
161,161,Julián Etulain,22,220,0,1,"2,649",NA
162,162,Retief Goosen,19,205,0,1,"2,664",NA
163,163,Spencer Levin,31,201,0,1,"2,668",NA
164,164,Ryan Brehm,25,188,0,NA,"2,681",NA
165,165,Shawn Stefani,26,188,0,1,"2,681",NA
166,166,Tom Hoge,17,187,0,2,"2,682",NA
167,167,Peter Malnati,29,182,0,NA,"2,687",NA
168,168,Matt Every,30,175,0,NA,"2,694",NA
169,169,Boo Weekley,27,173,0,1,"2,696",NA
170,170,Jonathan Byrd,9,172,0,1,"2,697",NA
171,171,Fabián Gómez,21,168,0,NA,"2,701",NA
172,172,Roberto Castro,25,164,0,NA,"2,705",NA
173,173,Greg Chalmers,28,156,0,NA,"2,713",NA
174,174,John Peterson,15,153,0,NA,"2,716",NA
175,175,Ryo Ishikawa,20,148,0,1,"2,721",NA
176,176,Joel Dahmen,16,143,0,1,"2,726",NA
177,177,K.J. Choi,25,143,0,NA,"2,726",NA
178,178,Vijay Singh,18,140,0,NA,"2,729",NA
179,179,Steve Wheatcroft,17,138,0,1,"2,731",NA
180,180,Brian Campbell,20,132,0,NA,"2,737",NA
181,181,Brett Stegmaier,27,131,0,NA,"2,738",NA
182,182,Hunter Mahan,26,130,0,NA,"2,739",NA
183,183,Will MacKenzie,16,127,0,NA,"2,742",NA
184,184,Mark Hubbard,27,124,0,NA,"2,745",NA
185,185,Davis Love III,13,124,0,1,"2,745",NA
186,186,Steven Alker,23,121,0,NA,"2,748",NA
187,187,Bill Lunde,8,121,0,1,"2,748",NA
188,188,Gonzalo Fernandez-Castaño,22,118,0,NA,"2,751",NA
189,189,Andrew Johnston,13,112,0,1,"2,757",NA
190,190,Bryce Molder,26,109,0,NA,"2,760",NA
191,191,Andrew Loupe,21,105,0,1,"2,764",NA
192,192,Stuart Appleby,16,104,0,1,"2,765",NA
193,193,Ken Duke,26,98,0,NA,"2,771",NA
194,194,Mark Anderson,20,98,0,1,"2,771",NA
195,195,Ángel Cabrera,16,96,0,1,"2,773",NA
196,196,Brett Drewitt,19,95,0,NA,"2,774",NA
197,197,Nicholas Lindheim,21,93,0,NA,"2,776",NA
198,198,Andres Romero,10,91,0,NA,"2,778",NA
199,199,Dicky Pride,7,85,0,NA,"2,784",NA
200,200,Padraig Harrington,11,82,0,NA,"2,787",NA
201,201,Miguel Angel Carballo,22,81,0,NA,"2,788",NA
202,202,Will Wilcox,14,81,0,NA,"2,788",NA
203,203,Hiroshi Iwata,10,76,0,1,"2,793",NA
204,204,Brad Fritsch,18,74,0,NA,"2,795",NA
205,205,Carl Pettersson,27,74,0,NA,"2,795",NA
206,206,Jason Bohn,28,73,0,NA,"2,796",NA
207,207,Jon Curran,11,60,0,NA,"2,809",NA
208,208,Jason Gore,5,56,0,NA,"2,813",NA
209,209,John Senden,14,55,0,NA,"2,814",NA
210,210,Mark Wilson,15,54,0,NA,"2,815",NA
211,211,Chesson Hadley,8,53,0,NA,"2,816",NA
212,212,Fred Couples,1,52,0,NA,"2,817",NA
213,213,Ernie Els,20,50,0,NA,"2,819",NA
214,214,Steve Marino,15,45,0,NA,"2,824",NA
215,215,Bob Estes,15,41,0,NA,"2,828",NA
216,216,John Merrick,9,40,0,NA,"2,829",NA
217,217,Y.E. Yang,9,39,0,NA,"2,830",NA
218,218,Charlie Wi,6,39,0,NA,"2,830",NA
219,219,Jerry Kelly,7,34,0,NA,"2,835",NA
220,220,Freddie Jacobson,9,32,0,NA,"2,837",NA
221,221,Brendon de Jonge,14,31,0,NA,"2,838",NA
222,222,Tyler Aldridge,14,30,0,NA,"2,839",NA
223,223,Craig Barlow,3,29,0,NA,"2,840",NA
224,224,Danny Willett,11,26,0,NA,"2,843",NA
225,225,Arjun Atwal,6,20,0,NA,"2,849",NA
226,226,Robert Allenby,4,19,0,NA,"2,850",NA
227,227,Zack Sucher,14,18,0,NA,"2,851",NA
228,228,"Ted Potter, Jr.",2,16,0,NA,"2,853",NA
229,229,Tim Herron,8,11,0,NA,"2,858",NA
230,230,Bobby Wyatt,20,10,0,NA,"2,859",NA
T231,T231,Steven Bowditch,27,9,0,NA,"2,860",NA
T231,T231,Larry Mize,1,9,0,NA,"2,860",NA
233,233,Shane Bertsch,9,7,0,NA,"2,862",NA
234,234,Michael Bradley,3,7,0,NA,"2,862",NA
235,235,D.J. Trahan,5,6,0,NA,"2,863",NA
236,236,Tommy Gainey,8,6,0,NA,"2,863",NA
237,237,Justin Leonard,1,5,0,NA,"2,864",NA
238,238,Troy Matteson,4,5,0,NA,"2,864",NA
T239,T239,George McNeill,7,4,0,NA,"2,865",NA
T239,T239,Tim Petrovic,2,4,0,NA,"2,865",NA
T239,T239,David Toms,3,4,0,NA,"2,865",NA
242,242,Charlie Beljan,8,4,0,NA,"2,865",NA
243,243,Peter Lonard,1,4,0,NA,"2,865",NA
244,244,Max Homa,17,3,0,NA,"2,866",NA
245,245,Eric Axley,4,3,0,NA,"2,866",NA
246,246,Omar Uresti,2,3,0,NA,"2,866",NA
247,247,Brendon Todd,9,3,0,NA,"2,866",NA
248,248,Colt Knost,5,3,0,NA,"2,866",NA
249,249,Fred Funk,1,2,0,NA,"2,867",NA
250,250,John Rollins,6,2,0,NA,"2,867",NA
251,251,Chris Smith,2,2,0,NA,"2,867",NA
252,252,Shaun Micheel,3,1,0,NA,"2,868",NA
