RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Dustin Johnson,16,"2,717",3,10,0,NA
2,2,Justin Thomas,19,"2,634",3,8,83,NA
3,3,Brooks Koepka,13,"2,012",2,5,705,NA
4,4,Justin Rose,14,"1,991",2,8,726,NA
5,5,Bubba Watson,20,"1,879",3,5,838,NA
6,6,Jason Day,16,"1,771",2,5,946,NA
7,7,Webb Simpson,22,"1,710",1,7,"1,007",NA
8,8,Francesco Molinari,17,"1,682",2,4,"1,035",NA
9,9,Bryson DeChambeau,22,"1,617",1,7,"1,100",NA
10,10,Patrick Reed,22,"1,555",1,7,"1,162",NA
11,11,Phil Mickelson,20,"1,546",1,6,"1,171",NA
12,12,Tony Finau,24,"1,509",0,8,"1,208",NA
13,13,Jon Rahm,16,"1,430",1,5,"1,287",NA
14,14,Patrick Cantlay,19,"1,388",1,6,"1,329",NA
15,15,Patton Kizzire,25,"1,386",2,4,"1,331",NA
16,16,Paul Casey,16,"1,319",1,5,"1,398",NA
17,17,Rickie Fowler,18,"1,302",0,4,"1,415",NA
18,18,Kyle Stanley,22,"1,198",0,5,"1,519",NA
19,19,Kevin Na,22,"1,183",1,4,"1,534",NA
20,20,Tiger Woods,14,"1,162",0,5,"1,555",NA
21,21,Rory McIlroy,15,"1,154",1,5,"1,563",NA
22,22,Marc Leishman,21,"1,148",0,6,"1,569",NA
23,23,Tommy Fleetwood,15,"1,130",0,5,"1,587",NA
24,24,Chesson Hadley,27,"1,122",0,7,"1,595",NA
25,25,Pat Perez,20,"1,116",1,4,"1,601",NA
26,26,Andrew Landry,24,"1,116",1,5,"1,601",NA
27,27,Aaron Wise,25,"1,086",1,3,"1,631",NA
28,28,Xander Schauffele,23,"1,081",0,5,"1,636",NA
29,29,Luke List,26,"1,080",0,5,"1,637",NA
30,30,Brandt Snedeker,23,"1,077",1,4,"1,640",NA
31,31,Austin Cook,26,"1,060",1,3,"1,657",NA
32,32,Brian Harman,22,"1,056",0,8,"1,661",NA
33,33,Gary Woodland,23,"1,044",1,3,"1,673",NA
34,34,Ian Poulter,17,"1,030",1,4,"1,687",NA
35,35,Andrew Putnam,25,"1,026",1,5,"1,691",NA
36,36,Chez Reavie,25,"1,020",0,3,"1,697",NA
37,37,Ryan Armour,29,"1,006",1,3,"1,711",NA
