RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Bryson DeChambeau,10,"1,577",2,5,0,NA
2,2,Justin Thomas,12,"1,552",1,5,25,NA
3,5,Xander Schauffele,12,"1,335",0,6,242,NA
4,3,Patrick Cantlay,12,"1,280",1,4,297,NA
5,4,Viktor Hovland,13,"1,259",1,4,318,NA
6,7,Jordan Spieth,15,"1,250",1,6,327,NA
7,33,Hideki Matsuyama,17,"1,244",1,2,333,NA
8,6,Dustin Johnson,9,"1,139",1,4,438,NA
9,10,Tony Finau,14,"1,085",0,6,492,NA
10,13,Jon Rahm,12,"1,071",0,8,506,NA
11,8,Billy Horschel,14,"1,070",1,4,507,NA
12,9,Harris English,14,"1,055",1,5,522,NA
13,11,Joaquin Niemann,14,992,0,3,585,NA
14,20,Patrick Reed,11,973,1,4,604,NA
15,12,Brooks Koepka,10,960,1,4,617,NA
16,14,Max Homa,16,955,1,3,622,NA
17,17,Matt Jones,17,954,1,3,623,NA
18,15,Jason Kokrak,15,933,1,4,644,NA
19,16,Daniel Berger,12,922,1,4,655,NA
20,21,Cameron Smith,13,909,0,4,668,NA
21,18,Carlos Ortiz,16,897,1,3,680,NA
22,23,Si Woo Kim,18,889,1,3,688,NA
23,19,Sungjae Im,19,885,0,3,692,NA
24,22,Collin Morikawa,12,881,1,3,696,NA
25,25,Corey Conners,17,878,0,6,699,NA
26,26,Stewart Cink,14,848,1,2,729,NA
27,24,Sergio Garcia,13,822,1,3,755,NA
28,29,Scottie Scheffler,16,812,0,3,765,NA
29,30,Kevin Na,14,801,1,1,776,NA
30,27,Charley Hoffman,18,781,0,4,796,NA
31,28,Lee Westwood,10,776,0,2,801,NA
32,31,Ryan Palmer,13,685,0,3,892,NA
33,40,Brian Harman,16,677,0,3,900,NA
34,37,Abraham Ancer,15,657,0,2,920,NA
35,36,Martin Laird,15,651,1,1,926,NA
36,32,Matthew Wolff,12,646,0,2,931,NA
37,34,Cameron Tringale,15,639,0,3,938,NA
38,35,Chris Kirk,13,634,0,3,943,NA
39,44,Webb Simpson,12,632,0,4,945,NA
40,38,Hudson Swafford,16,619,1,2,958,NA
41,39,Robert Streb,14,618,1,1,959,NA
42,41,Russell Henley,13,609,0,3,968,NA
43,42,Peter Malnati,16,576,0,3,"1,001",NA
44,43,Rory McIlroy,12,573,0,4,"1,004",NA
45,45,Brian Gay,14,566,1,1,"1,011",NA
46,48,Louis Oosthuizen,11,548,0,2,"1,029",NA
47,46,Talor Gooch,16,530,0,3,"1,047",NA
48,47,Wyndham Clark,13,519,0,2,"1,058",NA
49,57,Paul Casey,11,512,0,4,"1,065",NA
50,49,Branden Grace,15,511,1,1,"1,066",NA
51,50,Aaron Wise,13,509,0,1,"1,068",NA
52,51,Sam Burns,13,504,0,3,"1,073",NA
53,52,Kevin Kisner,12,501,0,1,"1,076",NA
54,53,Adam Long,17,497,0,2,"1,080",NA
55,54,Tyler McCumber,15,497,0,2,"1,080",NA
56,55,Maverick McNealy,14,496,0,1,"1,081",NA
57,56,Lanto Griffin,17,488,0,2,"1,089",NA
58,59,Mackenzie Hughes,15,481,0,3,"1,096",NA
59,60,Matt Fitzpatrick,11,481,0,3,"1,096",NA
60,58,Joel Dahmen,16,466,1,2,"1,111",NA
61,64,Sebastián Muñoz,18,463,0,2,"1,114",NA
62,61,Tom Hoge,18,453,0,1,"1,124",NA
63,62,J.T. Poston,16,452,0,1,"1,125",NA
64,63,James Hahn,13,451,0,4,"1,126",NA
65,79,Tyrrell Hatton,11,450,0,2,"1,127",NA
66,90,Marc Leishman,14,444,0,2,"1,133",NA
67,65,Emiliano Grillo,17,444,0,2,"1,133",NA
68,66,Cameron Davis,14,441,0,2,"1,136",NA
69,67,Harry Higgs,14,439,0,1,"1,138",NA
70,68,Brendan Steele,15,430,0,2,"1,147",NA
71,69,Kevin Streelman,16,429,0,2,"1,148",NA
72,70,Henrik Norlander,17,424,0,2,"1,153",NA
73,71,Patton Kizzire,15,422,0,3,"1,155",NA
74,72,Andrew Putnam,18,415,0,3,"1,162",NA
75,73,Denny McCarthy,17,411,0,3,"1,166",NA
76,74,Brandon Hagy,14,409,0,1,"1,168",NA
77,75,Doug Ghim,15,409,0,1,"1,168",NA
78,76,Lucas Glover,16,406,0,2,"1,171",NA
79,77,Matthew NeSmith,16,406,0,2,"1,171",NA
80,78,Keegan Bradley,16,406,0,2,"1,171",NA
81,80,Kyoung-Hoon Lee,18,386,0,1,"1,191",NA
82,81,Nate Lashley,17,384,0,2,"1,193",NA
83,82,Zach Johnson,14,382,0,3,"1,195",NA
84,87,Bubba Watson,11,373,0,3,"1,204",NA
85,83,Sepp Straka,18,371,0,2,"1,206",NA
86,84,Jason Day,15,356,0,2,"1,221",NA
87,88,Brendon Todd,16,352,0,1,"1,225",NA
88,85,C.T. Pan,16,347,0,2,"1,230",NA
89,86,Russell Knox,17,347,0,2,"1,230",NA
90,96,Michael Thompson,13,335,0,1,"1,242",NA
91,89,Matt Kuchar,14,332,0,1,"1,245",NA
92,97,Matt Wallace,9,330,0,1,"1,247",NA
93,91,Austin Cook,15,320,0,1,"1,257",NA
94,105,Shane Lowry,12,320,0,1,"1,257",NA
95,92,Chase Seiffert,15,317,0,1,"1,260",NA
96,93,Dylan Frittelli,15,316,0,2,"1,261",NA
97,94,Anirban Lahiri,12,315,0,2,"1,262",NA
98,95,Kyle Stanley,16,312,0,1,"1,265",NA
99,98,Sam Ryder,17,303,0,3,"1,274",NA
100,99,Jhonattan Vegas,14,298,0,1,"1,279",NA
101,100,Rory Sabbatini,15,297,0,1,"1,280",NA
102,101,Adam Hadwin,15,296,0,1,"1,281",NA
103,102,Doc Redman,13,292,0,2,"1,285",NA
104,104,Francesco Molinari,10,287,0,3,"1,290",NA
105,103,Harold Varner III,14,286,0,NA,"1,291",NA
106,109,Adam Scott,11,276,0,1,"1,301",NA
107,106,Camilo Villegas,15,273,0,2,"1,304",NA
108,107,Cameron Percy,14,273,0,2,"1,304",NA
109,108,Richy Werenski,15,269,0,1,"1,308",NA
110,110,Charles Howell III,14,268,0,1,"1,309",NA
111,113,Tommy Fleetwood,10,266,0,2,"1,311",NA
112,111,Luke List,18,264,0,2,"1,313",NA
113,112,Alex Noren,13,256,0,NA,"1,321",NA
114,124,Ian Poulter,10,252,0,1,"1,325",NA
115,114,Rafael Campos,12,251,0,2,"1,326",NA
116,115,Bo Hoag,18,249,0,NA,"1,328",NA
117,116,Brian Stuard,19,246,0,1,"1,331",NA
118,117,John Huh,10,244,0,NA,"1,333",NA
119,118,Erik van Rooyen,13,241,0,1,"1,336",NA
120,119,Brice Garnett,17,239,0,2,"1,338",NA
121,120,Chez Reavie,15,238,0,1,"1,339",NA
122,121,Michael Gligic,15,233,0,1,"1,344",NA
123,122,Steve Stricker,8,228,0,1,"1,349",NA
124,134,Cameron Champ,14,227,0,1,"1,350",NA
125,123,Patrick Rodgers,19,226,0,NA,"1,351",NA
126,125,Andrew Landry,14,218,0,1,"1,359",NA
127,126,Nick Taylor,16,214,0,NA,"1,363",NA
128,127,Rickie Fowler,15,209,0,NA,"1,368",NA
129,128,Kris Ventura,17,209,0,2,"1,368",NA
130,129,Pat Perez,19,206,0,1,"1,371",NA
131,130,Chesson Hadley,13,205,0,NA,"1,372",NA
132,131,Kramer Hickok,13,205,0,1,"1,372",NA
133,132,Roger Sloan,14,204,0,NA,"1,373",NA
134,133,Scott Piercy,12,200,0,NA,"1,377",NA
135,164,Justin Rose,8,199,0,1,"1,378",NA
136,135,Brandt Snedeker,15,191,0,1,"1,386",NA
137,142,Charl Schwartzel,15,189,0,NA,"1,388",NA
138,136,Vincent Whaley,14,187,0,NA,"1,390",NA
139,137,David Hearn,14,183,0,1,"1,394",NA
140,139,Gary Woodland,13,182,0,1,"1,395",NA
141,138,Ryan Armour,16,180,0,1,"1,397",NA
142,140,Scott Stallings,13,164,0,1,"1,413",NA
143,141,Will Gordon,18,159,0,NA,"1,418",NA
144,143,Adam Schenk,18,155,0,NA,"1,422",NA
145,144,Robby Shelton,17,153,0,NA,"1,424",NA
146,145,Tyler Duncan,19,153,0,NA,"1,424",NA
147,146,Troy Merritt,18,152,0,NA,"1,425",NA
148,147,Keith Mitchell,15,144,0,NA,"1,433",NA
149,148,Mark Hubbard,17,144,0,NA,"1,433",NA
150,149,Xinjun Zhang,18,142,0,NA,"1,435",NA
151,150,Byeong Hun An,15,142,0,1,"1,435",NA
152,151,Joseph Bramlett,14,140,0,NA,"1,437",NA
153,152,Rob Oppenheim,15,139,0,1,"1,438",NA
154,153,Hank Lebioda,13,133,0,NA,"1,444",NA
155,154,Vaughn Taylor,17,131,0,NA,"1,446",NA
156,155,Bronson Burgoon,14,126,0,NA,"1,451",NA
157,175,Phil Mickelson,12,124,0,NA,"1,453",NA
158,156,Scott Harrington,17,123,0,NA,"1,454",NA
159,157,Danny Willett,9,120,0,1,"1,457",NA
160,158,Beau Hossler,17,115,0,NA,"1,462",NA
161,159,Grayson Murray,12,114,0,1,"1,463",NA
162,160,D.J. Trahan,12,112,0,NA,"1,465",NA
163,161,Ryan Brehm,10,105,0,NA,"1,472",NA
164,162,Kevin Chappell,9,104,0,NA,"1,473",NA
165,163,Tom Lewis,13,103,0,NA,"1,474",NA
166,165,Jason Dufner,15,96,0,NA,"1,481",NA
167,166,Sebastian Cappelen,12,96,0,NA,"1,481",NA
168,167,"Ted Potter, Jr.",14,95,0,1,"1,482",NA
169,168,Graeme McDowell,11,94,0,1,"1,483",NA
170,182,Henrik Stenson,12,91,0,NA,"1,486",NA
171,169,Jim Furyk,6,91,0,NA,"1,486",NA
172,170,Wesley Bryan,8,90,0,NA,"1,487",NA
173,171,Scott Brown,16,89,0,NA,"1,488",NA
174,172,J.J. Spaun,13,88,0,1,"1,489",NA
175,173,Padraig Harrington,9,87,0,NA,"1,490",NA
176,174,Kelly Kraft,13,80,0,NA,"1,497",NA
177,176,Tim Wilkinson,12,80,0,NA,"1,497",NA
178,177,Satoshi Kodaira,15,78,0,NA,"1,499",NA
179,178,Rafa Cabrera Bello,13,77,0,NA,"1,500",NA
180,179,Nelson Ledesma,9,75,0,NA,"1,502",NA
181,180,Sung Kang,17,75,0,NA,"1,502",NA
182,181,Bo Van Pelt,15,74,0,NA,"1,503",NA
183,183,Kiradech Aphibarnrat,10,71,0,NA,"1,506",NA
184,184,Ben Martin,7,71,0,1,"1,506",NA
185,187,Jim Herman,13,69,0,NA,"1,508",NA
186,185,Fabián Gómez,14,65,0,NA,"1,512",NA
187,186,Rhein Gibson,13,62,0,NA,"1,515",NA
188,188,Josh Teater,8,61,0,NA,"1,516",NA
189,189,Sean O'Hair,10,60,0,NA,"1,517",NA
190,190,Danny Lee,13,60,0,NA,"1,517",NA
191,191,Mark Anderson,12,58,0,NA,"1,519",NA
192,192,Ryan Moore,7,55,0,NA,"1,522",NA
193,193,Peter Uihlein,6,53,0,NA,"1,524",NA
194,194,Ricky Barnes,6,50,0,NA,"1,527",NA
195,195,Jonathan Byrd,8,50,0,NA,"1,527",NA
196,196,Bud Cauley,1,49,0,NA,"1,528",NA
197,197,Bill Haas,10,48,0,NA,"1,529",NA
198,198,Wes Roach,6,47,0,NA,"1,530",NA
199,199,Seamus Power,8,45,0,NA,"1,532",NA
200,200,K.J. Choi,11,41,0,NA,"1,536",NA
201,201,Ben Taylor,10,40,0,NA,"1,537",NA
202,202,Aaron Baddeley,12,39,0,NA,"1,538",NA
203,203,Roberto Castro,4,36,0,NA,"1,541",NA
204,204,Chris Baker,12,33,0,NA,"1,544",NA
205,205,Sangmoon Bae,6,30,0,NA,"1,547",NA
206,206,Greg Chalmers,5,30,0,NA,"1,547",NA
207,207,Bernhard Langer,2,30,0,NA,"1,547",NA
208,208,Jamie Lovemark,12,29,0,NA,"1,548",NA
209,209,Jimmy Walker,15,29,0,NA,"1,548",NA
210,210,J.B. Holmes,10,28,0,NA,"1,549",NA
211,211,Kevin Tway,11,25,0,NA,"1,552",NA
212,212,John Senden,8,23,0,NA,"1,554",NA
213,213,David Lingmerth,3,21,0,NA,"1,556",NA
214,214,Martin Trainer,15,21,0,NA,"1,556",NA
215,215,Tiger Woods,3,20,0,NA,"1,557",NA
216,216,Luke Donald,13,18,0,NA,"1,559",NA
217,217,Michael Kim,17,16,0,NA,"1,561",NA
218,218,Mike Weir,3,16,0,NA,"1,561",NA
219,219,Andres Romero,2,16,0,NA,"1,561",NA
220,220,George McNeill,5,13,0,NA,"1,564",NA
221,221,Hunter Mahan,16,12,0,NA,"1,565",NA
222,222,Charlie Beljan,1,12,0,NA,"1,565",NA
223,223,Ryan Blaum,6,11,0,NA,"1,566",NA
T224,T224,Johnson Wagner,7,10,0,NA,"1,567",NA
T224,T224,D.A. Points,10,10,0,NA,"1,567",NA
226,,José María Olazábal,2,9,0,NA,"1,568",NA
227,226,Nick Watney,13,9,0,NA,"1,568",NA
228,227,Kevin Stadler,11,8,0,NA,"1,569",NA
229,228,William McGirt,5,8,0,NA,"1,569",NA
230,229,Zack Sucher,6,7,0,NA,"1,570",NA
231,230,Alex Cejka,4,7,0,NA,"1,570",NA
232,231,Richard Johnson,3,6,0,NA,"1,571",NA
233,232,Michael Gellerman,10,6,0,NA,"1,571",NA
234,233,Seung-Yul Noh,5,6,0,NA,"1,571",NA
235,234,Dominic Bozzelli,6,5,0,NA,"1,572",NA
236,235,Jason Bohn,2,5,0,NA,"1,572",NA
237,236,Fred Funk,1,5,0,NA,"1,572",NA
238,237,Tommy Gainey,3,5,0,NA,"1,572",NA
239,238,J.J. Henry,3,4,0,NA,"1,573",NA
240,239,Retief Goosen,1,3,0,NA,"1,574",NA
T241,T240,Arjun Atwal,4,3,0,NA,"1,574",NA
T241,T240,Zac Blair,4,3,0,NA,"1,574",NA
243,242,Jerry Kelly,3,3,0,NA,"1,574",NA
244,243,Parker McLachlin,5,2,0,NA,"1,575",NA
