RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Justin Thomas,15,"2,458",3,9,0,NA
2,2,Collin Morikawa,18,"1,902",2,6,556,NA
3,3,Webb Simpson,12,"1,878",2,7,580,NA
4,4,Bryson DeChambeau,14,"1,657",1,9,801,NA
5,5,Sungjae Im,23,"1,633",1,7,825,NA
6,6,Patrick Reed,17,"1,426",1,7,"1,032",NA
7,7,Daniel Berger,14,"1,347",1,6,"1,111",NA
8,8,Rory McIlroy,12,"1,327",1,6,"1,131",NA
9,9,Brendon Todd,22,"1,316",2,3,"1,142",NA
10,10,Jon Rahm,12,"1,295",1,5,"1,163",NA
11,11,Xander Schauffele,15,"1,258",0,6,"1,200",NA
12,12,Lanto Griffin,24,"1,159",1,3,"1,299",NA
13,13,Abraham Ancer,17,"1,099",0,4,"1,359",NA
14,14,Marc Leishman,15,"1,086",1,3,"1,372",NA
15,15,Dustin Johnson,11,"1,071",1,4,"1,387",NA
16,16,Sebastián Muñoz,23,"1,045",1,3,"1,413",NA
17,17,Kevin Na,18,"1,036",1,4,"1,422",NA
18,18,Hideki Matsuyama,17,"1,030",0,4,"1,428",NA
19,19,Tyrrell Hatton,8,"1,025",1,5,"1,433",NA
20,20,Cameron Champ,17,951,1,2,"1,507",NA
21,21,Adam Long,23,912,0,3,"1,546",NA
22,22,Kevin Streelman,21,909,0,4,"1,549",NA
23,23,Tony Finau,17,907,0,6,"1,551",NA
24,24,Scottie Scheffler,20,900,0,5,"1,558",NA
25,25,Billy Horschel,19,893,0,6,"1,565",NA
26,26,Joaquin Niemann,20,878,1,3,"1,580",NA
27,27,Harris English,17,867,0,5,"1,591",NA
28,28,Viktor Hovland,17,842,1,3,"1,616",NA
29,29,Ryan Palmer,16,838,0,4,"1,620",NA
30,30,Cameron Smith,16,807,1,2,"1,651",NA
31,31,Byeong Hun An,20,765,0,5,"1,693",NA
32,32,Patrick Cantlay,10,745,0,3,"1,713",NA
33,33,Gary Woodland,15,741,0,6,"1,717",NA
34,34,Matthew Wolff,19,739,0,2,"1,719",NA
35,35,Tyler Duncan,23,736,1,1,"1,722",NA
36,36,Adam Scott,8,726,1,1,"1,732",NA
37,37,Nick Taylor,16,720,1,2,"1,738",NA
38,38,Joel Dahmen,20,720,0,5,"1,738",NA
39,39,Tom Hoge,22,716,0,3,"1,742",NA
40,40,Kevin Kisner,18,710,0,3,"1,748",NA
41,41,Richy Werenski,15,703,1,3,"1,755",NA
42,42,Mark Hubbard,22,701,0,3,"1,757",NA
43,43,Brendan Steele,18,669,0,3,"1,789",NA
44,44,Adam Hadwin,15,654,0,3,"1,804",NA
45,45,Jason Day,15,653,0,5,"1,805",NA
46,46,Michael Thompson,18,647,1,2,"1,811",NA
47,47,Carlos Ortiz,20,630,0,3,"1,828",NA
48,48,Andrew Landry,19,626,1,1,"1,832",NA
49,49,Tiger Woods,5,604,1,2,"1,854",NA
50,50,Dylan Frittelli,22,604,0,3,"1,854",NA
51,51,Matt Fitzpatrick,13,602,0,4,"1,856",NA
52,52,Mackenzie Hughes,19,597,0,3,"1,861",NA
53,53,Danny Lee,20,588,0,3,"1,870",NA
54,54,Jim Herman,19,581,1,1,"1,877",NA
55,55,Paul Casey,13,559,0,1,"1,899",NA
56,56,Corey Conners,20,535,0,1,"1,923",NA
57,57,Max Homa,19,526,0,4,"1,932",NA
58,58,Maverick McNealy,21,523,0,3,"1,935",NA
59,59,J.T. Poston,21,516,0,2,"1,942",NA
60,60,Doc Redman,23,514,0,1,"1,944",NA
61,61,Sung Kang,21,512,0,2,"1,946",NA
62,62,Talor Gooch,22,508,0,2,"1,950",NA
63,63,Matt Kuchar,14,502,0,1,"1,956",NA
64,64,Charles Howell III,18,492,0,3,"1,966",NA
65,65,Denny McCarthy,22,489,0,4,"1,969",NA
66,66,Bubba Watson,18,489,0,3,"1,969",NA
67,67,Phil Mickelson,15,488,0,2,"1,970",NA
68,68,Henrik Norlander,22,483,0,3,"1,975",NA
69,69,Brian Harman,20,480,0,1,"1,978",NA
70,70,Xinjun Zhang,24,474,0,3,"1,984",NA
71,71,Sepp Straka,24,466,0,3,"1,992",NA
72,72,Harry Higgs,23,465,0,2,"1,993",NA
73,73,Harold Varner III,21,457,0,1,"2,001",NA
74,74,Bud Cauley,19,443,0,2,"2,015",NA
75,75,Vaughn Taylor,19,442,0,2,"2,016",NA
76,76,Brian Stuard,24,438,0,2,"2,020",NA
77,77,Patrick Rodgers,26,431,0,1,"2,027",NA
78,78,Alex Noren,15,428,0,3,"2,030",NA
79,79,Pat Perez,17,421,0,2,"2,037",NA
80,80,Troy Merritt,21,419,0,2,"2,039",NA
81,81,Robby Shelton,22,417,0,3,"2,041",NA
82,82,Si Woo Kim,23,409,0,1,"2,049",NA
83,83,Chez Reavie,21,408,0,2,"2,050",NA
84,84,Nate Lashley,19,395,0,2,"2,063",NA
85,85,Ian Poulter,12,392,0,1,"2,066",NA
86,86,Matt Jones,22,388,0,2,"2,070",NA
87,87,Cameron Tringale,17,381,0,1,"2,077",NA
88,88,Rickie Fowler,13,381,0,2,"2,077",NA
89,89,Tommy Fleetwood,10,380,0,1,"2,078",NA
90,90,Jason Kokrak,18,376,0,2,"2,082",NA
91,91,Cameron Davis,19,374,0,2,"2,084",NA
92,92,Emiliano Grillo,22,373,0,3,"2,085",NA
93,93,Matthew NeSmith,22,372,0,1,"2,086",NA
94,94,Scott Harrington,21,370,0,1,"2,088",NA
