RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
95,95,Ryan Armour,20,366,0,3,"2,092",NA
96,96,Ryan Moore,15,360,0,2,"2,098",NA
97,97,Brooks Koepka,13,360,0,2,"2,098",NA
98,98,Brandt Snedeker,15,358,0,1,"2,100",NA
99,99,Louis Oosthuizen,11,354,0,2,"2,104",NA
100,100,Jordan Spieth,16,354,0,3,"2,104",NA
101,101,Russell Henley,18,352,0,3,"2,106",NA
102,102,Sam Ryder,24,349,0,2,"2,109",NA
103,103,Sam Burns,18,345,0,1,"2,113",NA
104,104,Zach Johnson,17,337,0,1,"2,121",NA
105,105,Keith Mitchell,20,328,0,1,"2,130",NA
106,106,Zac Blair,22,324,0,1,"2,134",NA
107,107,Scott Brown,21,323,0,1,"2,135",NA
108,108,Brian Gay,22,323,0,2,"2,135",NA
109,109,Justin Rose,12,313,0,2,"2,145",NA
110,110,Kyoung-Hoon Lee,24,312,0,1,"2,146",NA
111,111,Charley Hoffman,19,311,0,2,"2,147",NA
112,112,Keegan Bradley,19,309,0,NA,"2,149",NA
113,113,Graeme McDowell,15,305,0,1,"2,153",NA
114,114,Adam Schenk,23,304,0,NA,"2,154",NA
115,115,Lucas Glover,20,303,0,1,"2,155",NA
116,116,Luke List,21,297,0,1,"2,161",NA
117,117,Scott Stallings,19,296,0,2,"2,162",NA
118,118,Brice Garnett,18,294,0,NA,"2,164",NA
119,119,Scott Piercy,18,291,0,1,"2,167",NA
120,120,Rory Sabbatini,19,291,0,NA,"2,167",NA
121,121,Beau Hossler,21,286,0,1,"2,172",NA
122,122,Shane Lowry,12,283,0,1,"2,175",NA
123,123,Tom Lewis,11,281,0,1,"2,177",NA
124,124,Bo Hoag,21,281,0,1,"2,177",NA
125,125,Wyndham Clark,22,276,0,1,"2,182",NA
126,126,Fabián Gómez,19,274,0,2,"2,184",NA
127,127,Russell Knox,22,269,0,NA,"2,189",NA
128,128,Charl Schwartzel,12,266,0,2,"2,192",NA
129,129,Rafa Cabrera Bello,16,258,0,NA,"2,200",NA
130,130,Bronson Burgoon,19,255,0,1,"2,203",NA
131,131,Chase Seiffert,18,254,0,1,"2,204",NA
132,132,Nick Watney,17,253,0,1,"2,205",NA
133,133,Kyle Stanley,20,246,0,1,"2,212",NA
134,134,Matt Wallace,13,244,0,1,"2,214",NA
135,135,Sergio Garcia,12,241,0,1,"2,217",NA
136,136,Chesson Hadley,19,239,0,NA,"2,219",NA
137,137,Peter Malnati,21,238,0,NA,"2,220",NA
138,138,Rob Oppenheim,21,236,0,1,"2,222",NA
139,139,Jhonattan Vegas,17,235,0,1,"2,223",NA
140,140,Hank Lebioda,20,230,0,1,"2,228",NA
141,141,Joseph Bramlett,18,223,0,1,"2,235",NA
142,142,Josh Teater,15,217,0,1,"2,241",NA
143,143,Cameron Percy,17,208,0,1,"2,250",NA
144,144,Stewart Cink,14,207,0,1,"2,251",NA
145,145,Robert Streb,19,207,0,1,"2,251",NA
146,146,Danny Willett,13,202,0,1,"2,256",NA
147,147,Andrew Putnam,16,184,0,1,"2,274",NA
148,148,J.B. Holmes,8,183,0,NA,"2,275",NA
149,149,Tim Wilkinson,16,183,0,NA,"2,275",NA
150,150,Aaron Wise,18,175,0,2,"2,283",NA
151,151,Seamus Power,11,168,0,1,"2,290",NA
152,152,Brandon Hagy,17,167,0,NA,"2,291",NA
153,153,D.J. Trahan,17,165,0,1,"2,293",NA
154,154,"Ted Potter, Jr.",19,163,0,2,"2,295",NA
155,155,Austin Cook,20,162,0,NA,"2,296",NA
156,156,Kris Ventura,16,157,0,NA,"2,301",NA
157,157,Sebastian Cappelen,19,156,0,1,"2,302",NA
158,158,Mark Anderson,16,154,0,NA,"2,304",NA
159,159,Aaron Baddeley,17,153,0,NA,"2,305",NA
160,160,David Hearn,19,152,0,1,"2,306",NA
161,161,Tyler McCumber,20,151,0,NA,"2,307",NA
162,162,Ben Martin,13,142,0,NA,"2,316",NA
163,163,Chris Baker,17,141,0,NA,"2,317",NA
164,164,Jason Dufner,19,138,0,NA,"2,320",NA
165,165,Branden Grace,16,136,0,1,"2,322",NA
166,166,Peter Uihlein,14,136,0,NA,"2,322",NA
167,167,Hudson Swafford,10,135,0,1,"2,323",NA
168,168,Michael Gligic,18,132,0,NA,"2,326",NA
169,169,Roger Sloan,20,131,0,NA,"2,327",NA
170,170,Kramer Hickok,18,131,0,NA,"2,327",NA
171,171,James Hahn,12,129,0,NA,"2,329",NA
172,172,Patton Kizzire,19,129,0,1,"2,329",NA
173,173,Wes Roach,14,123,0,2,"2,335",NA
174,174,Chris Stroud,18,120,0,NA,"2,338",NA
175,175,George McNeill,11,119,0,1,"2,339",NA
176,176,Zack Sucher,13,114,0,NA,"2,344",NA
177,177,Dominic Bozzelli,13,112,0,1,"2,346",NA
178,178,C.T. Pan,19,112,0,NA,"2,346",NA
179,179,Jimmy Walker,16,112,0,NA,"2,346",NA
180,180,Kevin Tway,19,110,0,NA,"2,348",NA
181,181,Jim Furyk,13,108,0,NA,"2,350",NA
182,182,Martin Laird,12,106,0,1,"2,352",NA
183,183,Vincent Whaley,15,106,0,1,"2,352",NA
184,184,Doug Ghim,16,102,0,NA,"2,356",NA
185,185,J.J. Spaun,20,102,0,NA,"2,356",NA
186,186,Grayson Murray,14,100,0,1,"2,358",NA
187,187,Shawn Stefani,10,98,0,NA,"2,360",NA
188,188,Kiradech Aphibarnrat,7,94,0,1,"2,364",NA
189,189,Matt Every,19,94,0,NA,"2,364",NA
190,190,Wesley Bryan,4,94,0,NA,"2,364",NA
191,191,Luke Donald,11,89,0,NA,"2,369",NA
192,192,Rhein Gibson,16,87,0,NA,"2,371",NA
193,193,Francesco Molinari,6,84,0,NA,"2,374",NA
194,194,Chris Kirk,11,80,0,NA,"2,378",NA
195,195,Ricky Barnes,11,77,0,NA,"2,381",NA
196,196,Roberto Castro,10,77,0,NA,"2,381",NA
197,197,Ryan Brehm,17,75,0,NA,"2,383",NA
198,198,Kevin Chappell,13,75,0,NA,"2,383",NA
199,199,Steve Stricker,10,73,0,NA,"2,385",NA
200,200,Chad Campbell,9,73,0,1,"2,385",NA
201,201,Henrik Stenson,5,69,0,NA,"2,389",NA
202,202,Boo Weekley,5,69,0,NA,"2,389",NA
203,203,Jonathan Byrd,11,67,0,NA,"2,391",NA
204,204,Alex Cejka,9,62,0,NA,"2,396",NA
205,205,Seung-Yul Noh,8,62,0,NA,"2,396",NA
206,206,Michael Gellerman,15,61,0,NA,"2,397",NA
207,207,K.J. Choi,9,61,0,NA,"2,397",NA
208,208,Rafael Campos,9,60,0,NA,"2,398",NA
209,209,Bill Haas,15,59,0,NA,"2,399",NA
210,210,Ben Taylor,17,54,0,NA,"2,404",NA
211,211,Jamie Lovemark,11,53,0,NA,"2,405",NA
212,212,Jerry Kelly,2,47,0,NA,"2,411",NA
213,213,John Huh,8,46,0,NA,"2,412",NA
214,214,Ben Crane,6,41,0,NA,"2,417",NA
215,215,Arjun Atwal,12,32,0,NA,"2,426",NA
216,216,Martin Trainer,21,31,0,NA,"2,427",NA
217,217,Nelson Ledesma,17,27,0,NA,"2,431",NA
218,218,John Merrick,7,27,0,NA,"2,431",NA
219,219,Anirban Lahiri,13,27,0,NA,"2,431",NA
220,220,Satoshi Kodaira,11,26,0,NA,"2,432",NA
221,221,Sangmoon Bae,9,26,0,NA,"2,432",NA
222,222,Morgan Hoffmann,4,24,0,NA,"2,434",NA
223,223,Tommy Gainey,5,23,0,NA,"2,435",NA
224,224,Johnson Wagner,10,20,0,NA,"2,438",NA
225,225,Carl Pettersson,2,18,0,NA,"2,440",NA
226,226,David Lingmerth,10,16,0,NA,"2,442",NA
227,227,Rod Pampling,4,15,0,NA,"2,443",NA
228,228,Bo Van Pelt,18,15,0,NA,"2,443",NA
229,229,Robert Garrigus,9,12,0,NA,"2,446",NA
230,230,Chris Couch,1,11,0,NA,"2,447",NA
231,231,Davis Love III,10,10,0,NA,"2,448",NA
232,232,Lucas Bjerregaard,10,10,0,NA,"2,448",NA
233,233,John Senden,13,9,0,NA,"2,449",NA
234,234,Ernie Els,2,9,0,NA,"2,449",NA
235,235,Derek Ernst,6,8,0,NA,"2,450",NA
236,236,Vince Covello,10,8,0,NA,"2,450",NA
237,237,Graham DeLaet,5,8,0,NA,"2,450",NA
238,238,Sean O'Hair,2,8,0,NA,"2,450",NA
239,239,J.J. Henry,9,7,0,NA,"2,451",NA
240,240,Tim Herron,6,6,0,NA,"2,452",NA
241,241,Rich Beem,3,6,0,NA,"2,452",NA
242,242,Daniel Chopra,6,5,0,NA,"2,453",NA
243,243,Bernhard Langer,2,5,0,NA,"2,453",NA
244,244,Vijay Singh,8,4,0,NA,"2,454",NA
245,245,Greg Chalmers,9,4,0,NA,"2,454",NA
246,246,Ted Purdy,4,3,0,NA,"2,455",NA
247,247,William McGirt,1,3,0,NA,"2,455",NA
248,248,Michael Kim,15,3,0,NA,"2,455",NA
249,249,Brian Davis,3,3,0,NA,"2,455",NA
250,250,Dicky Pride,1,3,0,NA,"2,455",NA
T251,T251,Brendon de Jonge,6,2,0,NA,"2,456",NA
T251,T251,Parker McLachlin,7,2,0,NA,"2,456",NA
T253,T253,Omar Uresti,3,2,0,NA,"2,456",NA
T253,T253,Carlos Franco,2,2,0,NA,"2,456",NA
