RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Jordan Spieth,21,"4,169",4,14,0,NA
2,2,Jason Day,16,"2,459",3,8,"1,710",NA
3,3,Bubba Watson,15,"2,407",2,7,"1,762",NA
4,4,Jimmy Walker,20,"2,014",2,6,"2,155",NA
5,5,Justin Rose,16,"1,742",1,7,"2,427",NA
6,6,Robert Streb,26,"1,720",1,9,"2,449",NA
7,7,Dustin Johnson,17,"1,718",1,8,"2,451",NA
8,8,Patrick Reed,23,"1,593",1,3,"2,576",NA
9,9,Rory McIlroy,9,"1,567",2,6,"2,602",NA
10,10,Danny Lee,32,"1,561",1,7,"2,608",NA
11,11,Zach Johnson,21,"1,559",1,8,"2,610",NA
12,12,Brooks Koepka,19,"1,544",1,8,"2,625",NA
13,13,Brandt Snedeker,23,"1,537",1,8,"2,632",NA
14,14,Charley Hoffman,24,"1,512",1,6,"2,657",NA
15,15,Rickie Fowler,17,"1,498",1,5,"2,671",NA
16,16,J.B. Holmes,21,"1,484",1,5,"2,685",NA
17,17,Kevin Kisner,26,"1,416",0,6,"2,753",NA
18,18,Jim Furyk,16,"1,401",1,6,"2,768",NA
19,19,Paul Casey,20,"1,389",0,7,"2,780",NA
20,20,Hideki Matsuyama,21,"1,374",0,8,"2,795",NA
21,21,David Lingmerth,25,"1,305",1,4,"2,864",NA
22,22,Steven Bowditch,28,"1,287",1,2,"2,882",NA
23,23,Bill Haas,21,"1,281",1,5,"2,888",NA
24,24,Ben Martin,24,"1,217",1,5,"2,952",NA
25,25,Ryan Moore,21,"1,208",1,4,"2,961",NA
26,26,Matt Kuchar,21,"1,164",0,5,"3,005",NA
27,27,Scott Piercy,24,"1,127",1,4,"3,042",NA
28,28,Louis Oosthuizen,17,"1,088",0,6,"3,081",NA
29,29,Chris Kirk,18,"1,087",1,3,"3,082",NA
30,30,Kevin Na,23,"1,062",0,6,"3,107",NA
31,31,Sergio Garcia,14,"1,051",0,4,"3,118",NA
32,32,Gary Woodland,21,"1,037",0,4,"3,132",NA
33,33,Jason Bohn,24,"1,037",0,5,"3,132",NA
34,34,Sangmoon Bae,26,"1,025",1,4,"3,144",NA
35,35,James Hahn,25,"1,012",1,2,"3,157",NA
36,36,Justin Thomas,27,"1,007",0,7,"3,162",NA
37,37,Shawn Stefani,23,987,0,3,"3,182",NA
38,38,Russell Henley,21,986,0,4,"3,183",NA
