RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Brooks Koepka,18,"2,887",3,8,0,NA
2,2,Rory McIlroy,16,"2,315",2,12,572,NA
3,3,Matt Kuchar,19,"2,313",2,8,574,NA
4,4,Xander Schauffele,18,"1,858",2,5,"1,029",NA
5,5,Gary Woodland,21,"1,795",1,8,"1,092",NA
6,6,Patrick Cantlay,18,"1,730",1,8,"1,157",NA
7,7,Dustin Johnson,16,"1,686",1,7,"1,201",NA
8,8,Paul Casey,20,"1,629",1,6,"1,258",NA
9,9,Webb Simpson,18,"1,619",0,6,"1,268",NA
10,10,Jon Rahm,17,"1,447",1,10,"1,440",NA
11,11,Justin Rose,14,"1,423",1,6,"1,464",NA
12,12,Marc Leishman,18,"1,415",1,7,"1,472",NA
13,13,Rickie Fowler,17,"1,391",1,6,"1,496",NA
14,14,Chez Reavie,25,"1,309",1,5,"1,578",NA
15,15,Charles Howell III,24,"1,279",1,5,"1,608",NA
16,16,Tony Finau,22,"1,279",0,4,"1,608",NA
17,17,Justin Thomas,17,"1,247",0,5,"1,640",NA
18,18,Bryson DeChambeau,18,"1,203",1,5,"1,684",NA
19,19,Tommy Fleetwood,15,"1,193",0,6,"1,694",NA
20,20,Shane Lowry,12,"1,137",1,4,"1,750",NA
21,21,Adam Scott,15,"1,124",0,6,"1,763",NA
22,22,Kevin Kisner,22,"1,098",1,3,"1,789",NA
23,23,Sungjae Im,32,"1,097",0,7,"1,790",NA
24,24,Ryan Palmer,19,"1,088",1,6,"1,799",NA
25,25,Francesco Molinari,13,"1,054",1,3,"1,833",NA
26,26,Scott Piercy,22,"1,025",0,6,"1,862",NA
27,27,J.T. Poston,27,"1,015",1,3,"1,872",NA
28,28,Tiger Woods,10,"1,003",1,4,"1,884",NA
29,29,Sung Kang,25,986,1,4,"1,901",NA
30,30,Hideki Matsuyama,21,969,0,5,"1,918",NA
31,31,Corey Conners,25,962,1,3,"1,925",NA
32,32,Lucas Glover,23,947,0,6,"1,940",NA
33,33,Brandt Snedeker,24,934,0,4,"1,953",NA
34,34,Phil Mickelson,18,903,1,2,"1,984",NA
35,35,C.T. Pan,23,900,1,2,"1,987",NA
36,36,Rory Sabbatini,24,895,0,6,"1,992",NA
37,37,Keith Mitchell,24,884,1,3,"2,003",NA
38,38,Andrew Putnam,21,873,0,3,"2,014",NA
39,39,Jim Furyk,19,865,0,3,"2,022",NA
